recordType,id,ox,oy,dx,dy,origin,destination,departure_time,tripDate,destCity
TAZ,361,44.78102261160,-93.60561983150,44.974573,-93.27035,"44.7810226116, -93.6056198315","44.974573, -93.27035",7:00 AM,9/18/2017,Minneapolis
TAZ,362,44.78833861390,-93.62194051520,44.974573,-93.27035,"44.7883386139, -93.6219405152","44.974573, -93.27035",7:00 AM,9/18/2017,Minneapolis
TAZ,363,44.79907023120,-93.64152517410,44.974573,-93.27035,"44.7990702312, -93.6415251741","44.974573, -93.27035",7:00 AM,9/18/2017,Minneapolis
TAZ,364,44.79960249740,-93.61109941660,44.974573,-93.27035,"44.7996024974, -93.6110994166","44.974573, -93.27035",7:00 AM,9/18/2017,Minneapolis
TAZ,365,44.80950381380,-93.61117019060,44.974573,-93.27035,"44.8095038138, -93.6111701906","44.974573, -93.27035",7:00 AM,9/18/2017,Minneapolis
TAZ,366,44.81441724980,-93.63943150250,44.974573,-93.27035,"44.8144172498, -93.6394315025","44.974573, -93.27035",7:00 AM,9/18/2017,Minneapolis
TAZ,367,44.82240825630,-93.61519385720,44.974573,-93.27035,"44.8224082563, -93.6151938572","44.974573, -93.27035",7:00 AM,9/18/2017,Minneapolis
TAZ,368,44.83509300650,-93.63987007980,44.974573,-93.27035,"44.8350930065, -93.6398700798","44.974573, -93.27035",7:00 AM,9/18/2017,Minneapolis
TAZ,369,44.84451025850,-93.61654865770,44.974573,-93.27035,"44.8445102585, -93.6165486577","44.974573, -93.27035",7:00 AM,9/18/2017,Minneapolis
TAZ,370,44.86365199770,-93.63488035530,44.974573,-93.27035,"44.8636519977, -93.6348803553","44.974573, -93.27035",7:00 AM,9/18/2017,Minneapolis
TAZ,371,44.85944857160,-93.64764137390,44.974573,-93.27035,"44.8594485716, -93.6476413739","44.974573, -93.27035",7:00 AM,9/18/2017,Minneapolis
TAZ,372,44.87369091840,-93.65821506320,44.974573,-93.27035,"44.8736909184, -93.6582150632","44.974573, -93.27035",7:00 AM,9/18/2017,Minneapolis
TAZ,373,44.88349177230,-93.68419786810,44.974573,-93.27035,"44.8834917723, -93.6841978681","44.974573, -93.27035",7:00 AM,9/18/2017,Minneapolis
TAZ,374,44.88711867200,-93.63934718630,44.974573,-93.27035,"44.887118672, -93.6393471863","44.974573, -93.27035",7:00 AM,9/18/2017,Minneapolis
TAZ,375,44.86910001170,-93.61526342910,44.974573,-93.27035,"44.8691000117, -93.6152634291","44.974573, -93.27035",7:00 AM,9/18/2017,Minneapolis
TAZ,376,44.88013882850,-93.59964416480,44.974573,-93.27035,"44.8801388285, -93.5996441648","44.974573, -93.27035",7:00 AM,9/18/2017,Minneapolis
TAZ,377,44.85647633100,-93.58745922550,44.974573,-93.27035,"44.856476331, -93.5874592255","44.974573, -93.27035",7:00 AM,9/18/2017,Minneapolis
TAZ,378,44.84798981080,-93.59285586700,44.974573,-93.27035,"44.8479898108, -93.592855867","44.974573, -93.27035",7:00 AM,9/18/2017,Minneapolis
TAZ,379,44.83087115680,-93.58737516580,44.974573,-93.27035,"44.8308711568, -93.5873751658","44.974573, -93.27035",7:00 AM,9/18/2017,Minneapolis
TAZ,380,44.81233553340,-93.59059529030,44.974573,-93.27035,"44.8123355334, -93.5905952903","44.974573, -93.27035",7:00 AM,9/18/2017,Minneapolis
TAZ,381,44.79973028500,-93.59259209350,44.974573,-93.27035,"44.799730285, -93.5925920935","44.974573, -93.27035",7:00 AM,9/18/2017,Minneapolis
TAZ,382,44.79858358640,-93.56774104960,44.974573,-93.27035,"44.7985835864, -93.5677410496","44.974573, -93.27035",7:00 AM,9/18/2017,Minneapolis
TAZ,383,44.81350059120,-93.56737991440,44.974573,-93.27035,"44.8135005912, -93.5673799144","44.974573, -93.27035",7:00 AM,9/18/2017,Minneapolis
TAZ,384,44.81595937920,-93.52922438190,44.974573,-93.27035,"44.8159593792, -93.5292243819","44.974573, -93.27035",7:00 AM,9/18/2017,Minneapolis
TAZ,385,44.83658820650,-93.52949573540,44.974573,-93.27035,"44.8365882065, -93.5294957354","44.974573, -93.27035",7:00 AM,9/18/2017,Minneapolis
TAZ,386,44.82602642520,-93.54751531600,44.974573,-93.27035,"44.8260264252, -93.547515316","44.974573, -93.27035",7:00 AM,9/18/2017,Minneapolis
TAZ,387,44.83348821790,-93.56337231190,44.974573,-93.27035,"44.8334882179, -93.5633723119","44.974573, -93.27035",7:00 AM,9/18/2017,Minneapolis
TAZ,388,44.85205806330,-93.55687071050,44.974573,-93.27035,"44.8520580633, -93.5568707105","44.974573, -93.27035",7:00 AM,9/18/2017,Minneapolis
TAZ,389,44.85300397890,-93.57156762080,44.974573,-93.27035,"44.8530039789, -93.5715676208","44.974573, -93.27035",7:00 AM,9/18/2017,Minneapolis
TAZ,390,44.87556653980,-93.58219108270,44.974573,-93.27035,"44.8755665398, -93.5821910827","44.974573, -93.27035",7:00 AM,9/18/2017,Minneapolis
TAZ,391,44.87565164590,-93.56160910760,44.974573,-93.27035,"44.8756516459, -93.5616091076","44.974573, -93.27035",7:00 AM,9/18/2017,Minneapolis
TAZ,392,44.85055949370,-93.54435616530,44.974573,-93.27035,"44.8505594937, -93.5443561653","44.974573, -93.27035",7:00 AM,9/18/2017,Minneapolis
TAZ,393,44.85285695380,-93.52836081210,44.974573,-93.27035,"44.8528569538, -93.5283608121","44.974573, -93.27035",7:00 AM,9/18/2017,Minneapolis
TAZ,394,44.87267398560,-93.53824656440,44.974573,-93.27035,"44.8726739856, -93.5382465644","44.974573, -93.27035",7:00 AM,9/18/2017,Minneapolis
TAZ,395,44.88251972530,-93.52824513710,44.974573,-93.27035,"44.8825197253, -93.5282451371","44.974573, -93.27035",7:00 AM,9/18/2017,Minneapolis
TAZ,396,44.91322740870,-93.12576058160,44.974573,-93.27035,"44.9132274087, -93.1257605816","44.974573, -93.27035",7:00 AM,9/18/2017,Minneapolis
TAZ,397,44.91226894390,-93.11321548820,44.974573,-93.27035,"44.9122689439, -93.1132154882","44.974573, -93.27035",7:00 AM,9/18/2017,Minneapolis
TAZ,398,44.90384562990,-93.10976095740,44.974573,-93.27035,"44.9038456299, -93.1097609574","44.974573, -93.27035",7:00 AM,9/18/2017,Minneapolis
TAZ,399,44.90317766400,-93.12111719950,44.974573,-93.27035,"44.903177664, -93.1211171995","44.974573, -93.27035",7:00 AM,9/18/2017,Minneapolis
TAZ,400,44.90228911970,-93.13011162200,44.974573,-93.27035,"44.9022891197, -93.130111622","44.974573, -93.27035",7:00 AM,9/18/2017,Minneapolis
TAZ,401,44.89904197840,-93.14362319870,44.974573,-93.27035,"44.8990419784, -93.1436231987","44.974573, -93.27035",7:00 AM,9/18/2017,Minneapolis
TAZ,402,44.88756480500,-93.15866554250,44.974573,-93.27035,"44.887564805, -93.1586655425","44.974573, -93.27035",7:00 AM,9/18/2017,Minneapolis
TAZ,403,44.89470972400,-93.13865067020,44.974573,-93.27035,"44.894709724, -93.1386506702","44.974573, -93.27035",7:00 AM,9/18/2017,Minneapolis
TAZ,404,44.88768063710,-93.14021168030,44.974573,-93.27035,"44.8876806371, -93.1402116803","44.974573, -93.27035",7:00 AM,9/18/2017,Minneapolis
TAZ,405,44.89468953350,-93.12519647440,44.974573,-93.27035,"44.8946895335, -93.1251964744","44.974573, -93.27035",7:00 AM,9/18/2017,Minneapolis
TAZ,406,44.89428136530,-93.11238473140,44.974573,-93.27035,"44.8942813653, -93.1123847314","44.974573, -93.27035",7:00 AM,9/18/2017,Minneapolis
TAZ,407,44.88701693350,-93.11397931160,44.974573,-93.27035,"44.8870169335, -93.1139793116","44.974573, -93.27035",7:00 AM,9/18/2017,Minneapolis
TAZ,408,44.88713997260,-93.12818903610,44.974573,-93.27035,"44.8871399726, -93.1281890361","44.974573, -93.27035",7:00 AM,9/18/2017,Minneapolis
TAZ,409,44.87256406110,-93.17954284820,44.974573,-93.27035,"44.8725640611, -93.1795428482","44.974573, -93.27035",7:00 AM,9/18/2017,Minneapolis
TAZ,410,44.86623666930,-93.16352139030,44.974573,-93.27035,"44.8662366693, -93.1635213903","44.974573, -93.27035",7:00 AM,9/18/2017,Minneapolis
TAZ,411,44.87501927570,-93.15196114880,44.974573,-93.27035,"44.8750192757, -93.1519611488","44.974573, -93.27035",7:00 AM,9/18/2017,Minneapolis
