TCode,Name,PnRNum,ox,oy,dx,dy,arriveTime,tripDate,destCity
T256,Hwy 100 & Duluth,256,45.0001,-93.3511,44.948164,-93.091434,7:45 AM,9/19/2017,St Paul
T258,Heart of the City,258,44.7728,-93.2794,44.948164,-93.091434,7:45 AM,9/19/2017,St Paul
T261,Knox Avenue at Best Buy,261,44.8624,-93.3039,44.948164,-93.091434,7:45 AM,9/19/2017,St Paul
T262,Guardian Angels Catholic Church,262,44.951,-92.9384,44.948164,-93.091434,7:45 AM,9/19/2017,St Paul
T266,Church of St. William,266,45.0792,-93.262,44.948164,-93.091434,7:45 AM,9/19/2017,St Paul
T268,63rd Ave & Bottineau Blvd,268,45.0704,-93.3701,44.948164,-93.091434,7:45 AM,9/19/2017,St Paul
T269,Hwy 252 & 66th Ave,269,45.0733,-93.2879,44.948164,-93.091434,7:45 AM,9/19/2017,St Paul
T271,Grace Church,271,45.0125,-93.1562,44.948164,-93.091434,7:45 AM,9/19/2017,St Paul
T272,Skating Center,272,45.0211,-93.1498,44.948164,-93.091434,7:45 AM,9/19/2017,St Paul
T278,Southbridge Crossing,278,44.7797,-93.4083,44.948164,-93.091434,7:45 AM,9/19/2017,St Paul
T284,Ramsey Station,284,45.2325,-93.4612,44.948164,-93.091434,7:45 AM,9/19/2017,St Paul
T285,St Andrew Lutheran Church,285,44.8585,-93.45,44.948164,-93.091434,7:45 AM,9/19/2017,St Paul
T287,I-35 & Kenrick Ave,287,44.7065,-93.2842,44.948164,-93.091434,7:45 AM,9/19/2017,St Paul
T290,I-35W & Co Rd C,290,45.0239,-93.1856,44.948164,-93.091434,7:45 AM,9/19/2017,St Paul
T291,Nathan Lane,291,45.0364,-93.4094,44.948164,-93.091434,7:45 AM,9/19/2017,St Paul
T292,SouthWest Village,292,44.8422,-93.5375,44.948164,-93.091434,7:45 AM,9/19/2017,St Paul
T293,Running Aces,293,45.2466,-93.0329,44.948164,-93.091434,7:45 AM,9/19/2017,St Paul
